FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
FILE NAME,ERROR CODE,ERROR EXPLAINED
00620_3342 & 3409 & 3410.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
00640-0015 & 0016.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
01001-5723 & 5724 imp & uni.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
01001-6144 - 6145 & 6164.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
01101-4828  CC 101049.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
01109-0105.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
01110-0900.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
01110-5388.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
01710-4905 CC 102468.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
01710-4951.xls,'NoneType' object has no attribute 'group',Part of file name with 7 numbers not found
1000836 (00620-4822).xlsx,formatting_info=True not yet implemented,"Wrong file extension, should be xls (not xlxs)"
2002022 (02070-0050) BAS.xlsx,formatting_info=True not yet implemented,"Wrong file extension, should be xls (not xlxs)"
